STATE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024
AK,1080382,1079782,1082544,1084470,1088238,1094826,-600,2762,1926,3768,6588,3506,13594,13602,13504,13474,1672,7560,9122,8020,7878,1834,6034,4480,5484,5596,118,1272,4104,5204,6114,-2516,-4374,-6626,-6910,-5102,-2398,-3102,-2522,-1706,1012,-36,-170,-32,-10,-20
AL,9139847,9157448,9195228,9251407,9335087,9415717,17601,37780,56179,83680,80630,25343,104024,105910,106698,105549,26627,122367,119062,106360,105231,-1284,-18343,-13152,338,318,253,3476,15819,25352,30744,20316,50828,53898,57822,49605,20569,54304,69717,83174,80349,-1684,1819,-386,168,-37
AR,4801626,4809582,4836980,4882238,4926455,4968394,7956,27398,45258,44217,41939,13858,56623,58919,57949,58079,12724,59667,60117,54002,52974,1134,-3044,-1198,3947,5105,182,2426,11499,9332,11527,6089,27289,35066,30781,25226,6271,29715,46565,40113,36753,551,727,-109,157,81
AZ,14131942,14190228,14365782,14572440,14763422,14982364,58286,175554,206658,190982,218942,35612,149350,156392,155308,154724,35158,157272,156380,138824,134710,454,-7922,12,16484,20014,500,15952,66352,104818,128108,60414,167710,136430,70450,70214,60914,183662,202782,175268,198322,-3082,-186,3864,-770,606
CA,96550904,96453685,95352868,95271790,95375395,95922475,-97219,-1100817,-81078,103605,547080,248382,990411,1017114,986256,964681,181379,835211,763433,730285,696959,67003,155200,253681,255971,267722,3453,114120,598449,744619,918250,-175936,-1328952,-926431,-900299,-640384,-172483,-1214832,-327982,-155680,277866,8261,-41185,-6777,3314,1492
CO,10999672,11024204,11074868,11146156,11244298,11354632,24532,50664,71288,98142,110334,30030,119214,120422,119720,120092,22292,86212,91902,84030,84156,7738,33002,28520,35690,35936,478,7568,35826,52976,64784,15054,6762,9064,9928,9194,15532,14330,44890,62904,73978,1262,3332,-2122,-452,420
CT,7215402,7159836,7213214,7235850,7286046,7350138,-55566,53378,22636,50196,64092,16930,67884,71274,70230,69218,23898,69172,69748,65954,65556,-6968,-1288,1526,4276,3662,816,12430,44710,59936,72428,-41368,38812,-20812,-12924,-12120,-40552,51242,23898,47012,60308,-8046,3424,-2788,-1092,122
DC,8791494,8734399,8723175,8767245,8849330,8982096,-57095,-11224,44070,82085,132766,25786,101074,102510,99339,95967,20355,63046,62830,58284,57715,5431,38028,39680,41055,38252,1329,23084,103230,102518,124396,-53598,-72684,-98788,-61305,-29867,-52269,-49600,4442,41213,94529,-10257,348,-52,-183,-15
DE,2148466,2152504,2179259,2211356,2243951,2276013,4038,26755,32097,32595,32062,5602,22147,23538,23313,22719,6486,24676,25198,23825,22775,-884,-2529,-1660,-512,-56,129,1928,7220,12169,14810,4628,27656,26269,20793,17164,4757,29584,33489,32962,31974,165,-300,268,145,144
FL,51775530,51894170,52396053,53661153,54892077,55990666,118640,501883,1265100,1230924,1098589,121259,500184,535316,540066,531690,134043,591356,612386,544311,534818,-12784,-91172,-77070,-4245,-3128,7385,123719,673889,896614,1077873,135002,491150,637378,326589,25737,142387,614869,1311267,1223203,1103610,-10963,-21814,30903,11966,-1893
